timestamp_utc,total_heat_MW,BB1_MW,EB1_MW,EB2_MW,EB3_MW
2035-05-17T00:00:00Z,62.53436967512794,0.0,19.6,29.4,13.534369675127943
2035-05-17T01:00:00Z,63.27366634363286,0.0,19.6,29.4,14.273666343632863
2035-05-17T02:00:00Z,61.639808444848605,0.0,19.6,29.4,12.639808444848606
2035-05-17T03:00:00Z,62.22426317745701,0.0,19.6,29.4,13.224263177457013
2035-05-17T04:00:00Z,62.87556492274776,0.0,19.6,29.4,13.875564922747765
2035-05-17T05:00:00Z,63.416089880155305,0.0,19.6,29.4,14.416089880155306
2035-05-17T06:00:00Z,62.61382925903067,0.0,19.6,29.4,13.613829259030675
2035-05-17T07:00:00Z,62.809335910731015,0.0,19.6,29.4,13.809335910731017
2035-05-17T08:00:00Z,64.43714443613315,0.0,19.6,29.4,15.437144436133147
2035-05-17T09:00:00Z,64.93105746223155,0.0,19.6,29.4,15.931057462231545
2035-05-17T10:00:00Z,64.23672155966443,0.0,19.6,29.4,15.236721559664426
2035-05-17T11:00:00Z,65.90683830332827,0.0,19.6,29.4,16.906838303328264
2035-05-17T12:00:00Z,65.79406072451584,0.0,19.6,29.4,16.79406072451585
2035-05-17T13:00:00Z,65.16339800190937,0.0,19.6,29.4,16.16339800190938
2035-05-17T14:00:00Z,64.84012823308205,0.0,19.6,29.4,15.84012823308205
2035-05-17T15:00:00Z,64.83031779956893,0.0,19.6,29.4,15.830317799568926
2035-05-17T16:00:00Z,64.28737280014022,0.0,19.6,29.4,15.287372800140213
2035-05-17T17:00:00Z,64.53209983738859,0.0,19.6,29.4,15.53209983738858
2035-05-17T18:00:00Z,63.22160832438866,0.0,19.6,29.4,14.221608324388663
2035-05-17T19:00:00Z,64.7503248417935,0.0,19.6,29.4,15.750324841793494
2035-05-17T20:00:00Z,62.99013596110685,0.0,19.6,29.4,13.990135961106853
2035-05-17T21:00:00Z,64.52045402344898,0.0,19.6,29.4,15.520454023448972
2035-05-17T22:00:00Z,62.54682997222772,0.0,19.6,29.4,13.546829972227721
2035-05-17T23:00:00Z,62.32114564445764,0.0,19.6,29.4,13.321145644457639
2035-05-18T00:00:00Z,61.08810695099434,0.0,19.6,29.4,12.088106950994339
2035-05-18T01:00:00Z,61.28256996077618,0.0,19.6,29.4,12.282569960776181
2035-05-18T02:00:00Z,62.259519135133694,0.0,19.6,29.4,13.259519135133695
2035-05-18T03:00:00Z,60.30808902968648,0.0,19.6,29.4,11.30808902968648
2035-05-18T04:00:00Z,62.770083574185186,0.0,19.6,29.4,13.770083574185188
2035-05-18T05:00:00Z,62.5201492961692,0.0,19.6,29.4,13.520149296169203
2035-05-18T06:00:00Z,61.33358152101106,0.0,19.6,29.4,12.333581521011064
2035-05-18T07:00:00Z,61.981836025369724,0.0,19.6,29.4,12.981836025369725
2035-05-18T08:00:00Z,64.17707383849053,0.0,19.6,29.4,15.177073838490523
2035-05-18T09:00:00Z,63.20332798903517,0.0,19.6,29.4,14.203327989035168
2035-05-18T10:00:00Z,63.36822966422998,0.0,19.6,29.4,14.36822966422998
2035-05-18T11:00:00Z,65.0288512727657,0.0,19.6,29.4,16.0288512727657
2035-05-18T12:00:00Z,64.5484463157574,0.0,19.6,29.4,15.548446315757397
2035-05-18T13:00:00Z,63.78072472583617,0.0,19.6,29.4,14.780724725836174
2035-05-18T14:00:00Z,64.18826254044976,0.0,19.6,29.4,15.18826254044975
2035-05-18T15:00:00Z,63.15552924532164,0.0,19.6,29.4,14.15552924532164
2035-05-18T16:00:00Z,64.7352375904467,0.0,19.6,29.4,15.735237590446696
2035-05-18T17:00:00Z,64.4164434407705,0.0,19.6,29.4,15.416443440770488
2035-05-18T18:00:00Z,64.10690490940046,0.0,19.6,29.4,15.10690490940045
2035-05-18T19:00:00Z,63.71226879000886,0.0,19.6,29.4,14.712268790008858
2035-05-18T20:00:00Z,64.23898070072592,0.0,19.6,29.4,15.238980700725913
2035-05-18T21:00:00Z,62.9076436500934,0.0,19.6,29.4,13.9076436500934
2035-05-18T22:00:00Z,61.348124458280246,0.0,19.6,29.4,12.348124458280248
2035-05-18T23:00:00Z,61.998155129240196,0.0,19.6,29.4,12.998155129240198
2035-05-19T00:00:00Z,61.938978315788326,0.0,19.6,29.4,12.938978315788328
2035-05-19T01:00:00Z,60.18522290823889,0.0,19.6,29.4,11.185222908238893
2035-05-19T02:00:00Z,60.55471473271542,0.0,19.6,29.4,11.55471473271542
2035-05-19T03:00:00Z,61.28444783806574,0.0,19.6,29.4,12.28444783806574
2035-05-19T04:00:00Z,61.30547522395873,0.0,19.6,29.4,12.305475223958732
2035-05-19T05:00:00Z,61.06075997576311,0.0,19.6,29.4,12.060759975763114
2035-05-19T06:00:00Z,61.977249161479044,0.0,19.6,29.4,12.977249161479046
2035-05-19T07:00:00Z,63.2464401142146,0.0,19.6,29.4,14.246440114214602
2035-05-19T08:00:00Z,62.5932783355182,0.0,19.6,29.4,13.593278335518201
2035-05-19T09:00:00Z,62.51829161850137,0.0,19.6,29.4,13.518291618501374
2035-05-19T10:00:00Z,62.422869308532945,0.0,19.6,29.4,13.422869308532947
2035-05-19T11:00:00Z,63.774971162328576,0.0,19.6,29.4,14.774971162328578
2035-05-19T12:00:00Z,64.2776105688068,0.0,19.6,29.4,15.277610568806788
2035-05-19T13:00:00Z,63.90402774608794,0.0,19.6,29.4,14.904027746087943
2035-05-19T14:00:00Z,63.3374685866143,0.0,19.6,29.4,14.337468586614301
2035-05-19T15:00:00Z,62.7035469777089,0.0,19.6,29.4,13.703546977708905
2035-05-19T16:00:00Z,62.710133438377206,0.0,19.6,29.4,13.710133438377207
2035-05-19T17:00:00Z,63.55903157410578,0.0,19.6,29.4,14.559031574105783
2035-05-19T18:00:00Z,63.61137204543633,0.0,19.6,29.4,14.611372045436335
2035-05-19T19:00:00Z,61.87930588124083,0.0,19.6,29.4,12.879305881240834
2035-05-19T20:00:00Z,63.41722730249516,0.0,19.6,29.4,14.417227302495158
2035-05-19T21:00:00Z,62.534924306220596,0.0,19.6,29.4,13.534924306220598
2035-05-19T22:00:00Z,62.1359345283928,0.0,19.6,29.4,13.135934528392804
2035-05-19T23:00:00Z,60.28475840518514,0.0,19.6,29.4,11.284758405185139
2035-05-20T00:00:00Z,59.32045162862281,0.0,19.6,29.4,10.320451628622815
2035-05-20T01:00:00Z,60.00046173953313,0.0,19.6,29.4,11.000461739533131
2035-05-20T02:00:00Z,60.36467866510903,0.0,19.6,29.4,11.364678665109034
2035-05-20T03:00:00Z,61.37779977153664,0.0,19.6,29.4,12.377799771536639
2035-05-20T04:00:00Z,61.052541785176835,0.0,19.6,29.4,12.052541785176837
2035-05-20T05:00:00Z,60.80136319206702,0.0,19.6,29.4,11.801363192067024
2035-05-20T06:00:00Z,60.074525803377504,0.0,19.6,29.4,11.074525803377506
2035-05-20T07:00:00Z,61.91978238012825,0.0,19.6,29.4,12.919782380128249
